product_id,product_name,price,category,price_numeric,skin_type,concern,image
1,Sabun Al-Mubarak,Rp25.000,Sabun,25000,Normal,Hydration,images/sabun.jpg
2,Sabun Temulawak Sadayu Madu & Green Tea White Plus 90gr,Rp10.000,Sabun,10000,Dry,Sensitive Care,images/sabun.jpg
3,Sabun Madu Wajah 701 Asli,Rp5.000,Sabun,5000,Oily,Hydration,images/sabun.jpg
4,Sabun Colagen Acne (Hijau) 701 BPOM,Rp11.000,Sabun,11000,Combination,Hydration,images/sabun.jpg
5,Sabun Citra Madu Whitening Soap,Rp7.000,Sabun,7000,Sensitive,Acne,images/sabun.jpg
6,Sabun Natural Gold Original BPOM,Rp7.500,Sabun,7500,Sensitive,Brightening,images/sabun.jpg
7,Sabun Walet Bengkuang,Rp8.500,Sabun,8500,Combination,Brightening,images/sabun.jpg
8,Sabun Beras Susu Boliya BPOM 60gr,Rp8.000,Sabun,8000,Sensitive,Sensitive Care,images/sabun.jpg
9,Sabun Madu Boliya Original BPOM,Rp5.500,Sabun,5500,Normal,Anti-Aging,images/sabun.jpg
10,Sabun Vit E Whitening Transparant Soap,Rp6.750,Sabun,6750,Sensitive,Acne,images/sabun.jpg
11,Sabun Gosly Bengkoang Whitening Asli,Rp13.000,Sabun,13000,Dry,Anti-Aging,images/sabun.jpg
12,Sabun Pembersih Wajah Oval Asli,Rp5.250,Sabun,5250,Dry,Hydration,images/sabun.jpg
13,Colagen Sabun Plus Vit E 701,Rp10.000,Sabun,10000,Sensitive,Anti-Aging,images/sabun.jpg
14,Kojie-San Whitening Soap,Rp16.500,Sabun,16500,Dry,Brightening,images/sabun.jpg
15,AL Mubarak Cream Day & Night,Rp44.500,Cream,44500,Dry,General Care,images/default.jpg
16,Luzzini Cream Siang - Malam Asli,Rp43.500,Cream,43500,Dry,General Care,images/default.jpg
17,Cream Gosly Asli Siang dan Malam,Rp37.500,Cream,37500,Dry,General Care,images/default.jpg
18,Temulawak Gold 2in1 Day & Night Original Malaysia,Rp21.000,Cream,21000,Dry,General Care,images/default.jpg
19,Cream Arab Turmetic 2in1 Day & Night Asli,Rp11.900,Cream,11900,Dry,General Care,images/default.jpg
20,Cream Seledri Whitening Day & Night,Rp20.000,Cream,20000,Dry,General Care,images/default.jpg
21,Cream Rantang Fair & Lovely Day & Night,Rp12.000,Cream,12000,Dry,General Care,images/default.jpg
