product_id,name,price,category,price_numeric,skin_type,concern,image,shopee_link
1,Sabun Al-Mubarak,Rp25.000,Sabun,25000,Normal,Hydration,images/sabun.jpg,https://shopee.co.id/Sabun-Al_Mubarak-Bleaching-Soap-Batang-Ori-Mencerahkan-Kulit-i.332377135.25816044687
2,Sabun Temulawak Sadayu Madu & Green Tea White Plus 90gr,Rp10.000,Sabun,10000,Dry,Sensitive Care,images/sabun.jpg,https://shopee.co.id/a.ez-SADAYU-SABUN-TEMULAWAK-WHITE-PLUS-sabun-batang-temulawak-sedayu-i.334290524.42911577196
3,Sabun Madu Wajah 701 Asli,Rp5.000,Sabun,5000,Oily,Hydration,images/sabun.jpg,https://shopee.co.id/Sabun-Wajah-Polos-701-Asli-Bpom-Satuan-i.1179399520.26783126429
4,Sabun Colagen Acne (Hijau) 701 BPOM,Rp11.000,Sabun,11000,Combination,Hydration,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BColagen%2BAcne%2B%28Hijau%29%2B701%2BBPOM
5,Sabun Citra Madu Whitening Soap,Rp7.000,Sabun,7000,Sensitive,Acne,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BCitra%2BMadu%2BWhitening%2BSoap
6,Sabun Natural Gold Original BPOM,Rp7.500,Sabun,7500,Sensitive,Brightening,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BNatural%2BGold%2BOriginal%2BBPOM
7,Sabun Walet Bengkuang,Rp8.500,Sabun,8500,Combination,Brightening,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BWalet%2BBengkuang
8,Sabun Beras Susu Boliya BPOM 60gr,Rp8.000,Sabun,8000,Sensitive,Sensitive Care,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BBeras%2BSusu%2BBoliya%2BBPOM%2B60gr
9,Sabun Madu Boliya Original BPOM,Rp5.500,Sabun,5500,Normal,Anti-Aging,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BMadu%2BBoliya%2BOriginal%2BBPOM
10,Sabun Vit E Whitening Transparant Soap,Rp6.750,Sabun,6750,Sensitive,Acne,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BVit%2BE%2BWhitening%2BTransparant%2BSoap
11,Sabun Gosly Bengkoang Whitening Asli,Rp13.000,Sabun,13000,Dry,Anti-Aging,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BGosly%2BBengkoang%2BWhitening%2BAsli
12,Sabun Pembersih Wajah Oval Asli,Rp5.250,Sabun,5250,Dry,Hydration,images/sabun.jpg,https://shopee.co.id/search?keyword=Sabun%2BPembersih%2BWajah%2BOval%2BAsli
13,Colagen Sabun Plus Vit E 701,Rp10.000,Sabun,10000,Sensitive,Anti-Aging,images/sabun.jpg,https://shopee.co.id/search?keyword=Colagen%2BSabun%2BPlus%2BVit%2BE%2B701
14,Kojie-San Whitening Soap,Rp16.500,Sabun,16500,Dry,Brightening,images/sabun.jpg,https://shopee.co.id/search?keyword=Kojie-San%2BWhitening%2BSoap
15,AL Mubarak Cream Day & Night,Rp44.500,Cream,44500,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=AL%2BMubarak%2BCream%2BDay%2B%26%2BNight
16,Luzzini Cream Siang - Malam Asli,Rp43.500,Cream,43500,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Luzzini%2BCream%2BSiang%2B-%2BMalam%2BAsli
17,Cream Gosly Asli Siang dan Malam,Rp37.500,Cream,37500,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BGosly%2BAsli%2BSiang%2Bdan%2BMalam
18,Temulawak Gold 2in1 Day & Night Original Malaysia,Rp21.000,Cream,21000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Temulawak%2BGold%2B2in1%2BDay%2B%26%2BNight%2BOriginal%2BMalaysia
19,Cream Arab Turmetic 2in1 Day & Night Asli,Rp11.900,Cream,11900,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BArab%2BTurmetic%2B2in1%2BDay%2B%26%2BNight%2BAsli
20,Cream Seledri Whitening Day & Night,Rp20.000,Cream,20000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BSeledri%2BWhitening%2BDay%2B%26%2BNight
21,Cream Rantang Fair & Lovely Day & Night,Rp12.000,Cream,12000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BRantang%2BFair%2B%26%2BLovely%2BDay%2B%26%2BNight
22,Cream Whitening Vit (per pcs),Rp9.000,Cream,9000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BWhitening%2BVit%2B%28per%2Bpcs%29
23,Cream Cordycep Day Night Herbal Ginseng Asli,Rp45.000 - Rp90.000,Cream,4500090000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BCordycep%2BDay%2BNight%2BHerbal%2BGinseng%2BAsli
24,Walet Jaring Pink Original / Cream Walet 3in1 Asli,Rp8.000 - Rp38.000,Cream,800038000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Walet%2BJaring%2BPink%2BOriginal%2B/%2BCream%2BWalet%2B3in1%2BAsli
25,Cream Fair & Lovely Susun Siang dan Malam,Rp10.000,Cream,10000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BFair%2B%26%2BLovely%2BSusun%2BSiang%2Bdan%2BMalam
26,CREAM MALAM WALET BENGKUANG,Rp39.000,Cream,39000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=CREAM%2BMALAM%2BWALET%2BBENGKUANG
27,Jelly Cream Rantang Royal Jelly Day & Night,Rp25.000,Cream,25000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Jelly%2BCream%2BRantang%2BRoyal%2BJelly%2BDay%2B%26%2BNight
28,Best Now Cream Siang / Malam 15g,Rp88.000 - Rp176.000,Cream,88000176000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Best%2BNow%2BCream%2BSiang%2B/%2BMalam%2B15g
29,GOSLY Day & Night 15gr,Rp90.000 - Rp180.000,Cream,90000180000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=GOSLY%2BDay%2B%26%2BNight%2B15gr
30,Cream Berrijoy 15g Day & Night,Rp77.000 - Rp154.000,Cream,77000154000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BBerrijoy%2B15g%2BDay%2B%26%2BNight
31,Cream Natashya Malam - Siang Asli,Rp43.500,Cream,43500,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Cream%2BNatashya%2BMalam%2B-%2BSiang%2BAsli
32,Serum Gold Original BPOM,Rp17.500,Serum,17500,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Serum%2BGold%2BOriginal%2BBPOM
33,Serum 24K Essence Bisis Ori,Rp33.000,Serum,33000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Serum%2B24K%2BEssence%2BBisis%2BOri
34,Sadayu Serum Collagen BPOM,Rp21.500,Serum,21500,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Sadayu%2BSerum%2BCollagen%2BBPOM
35,Serum Graceful Original,Rp42.000,Serum,42000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Serum%2BGraceful%2BOriginal
36,Serum Temulawak Sadayu,Rp20.000,Serum,20000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Serum%2BTemulawak%2BSadayu
37,Serum Temulawak Boliya BPOM,Rp20.000,Serum,20000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Serum%2BTemulawak%2BBoliya%2BBPOM
38,NEW Serum Gosly 15ml,Rp37.000,Serum,37000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=NEW%2BSerum%2BGosly%2B15ml
39,Serum Berrijoy Whitening,Rp90.000,Serum,90000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=Serum%2BBerrijoy%2BWhitening
40,XI XIU Face Serum Series 20ml,Rp15.000,Serum,15000,Dry,Hydration,images/serum.jpg,https://shopee.co.id/search?keyword=XI%2BXIU%2BFace%2BSerum%2BSeries%2B20ml
41,AL-Mubarak Skyline Toner Vit E Asli,Rp23.500,Toner,23500,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=AL-Mubarak%2BSkyline%2BToner%2BVit%2BE%2BAsli
42,Toner Gold Original BPOM,Rp17.500,Toner,17500,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Toner%2BGold%2BOriginal%2BBPOM
43,GOSLY Toner,Rp49.000,Toner,49000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=GOSLY%2BToner
44,Berrijoy Toner Wajah Whitening,Rp25.000,Toner,25000,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=Berrijoy%2BToner%2BWajah%2BWhitening
45,VIVA Air Mawar 100ml Brightening Rose Water,Rp7.500,Toner,7500,Combination,Pore Care,images/toner.jpg,https://shopee.co.id/search?keyword=VIVA%2BAir%2BMawar%2B100ml%2BBrightening%2BRose%2BWater
46,Graceful Facial Wajah Asli Original,Rp32.500,Facial Cleanser,32500,Normal,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Graceful%2BFacial%2BWajah%2BAsli%2BOriginal
47,Sunscreen SPF 30 Madame Gie 60ml,Rp29.000,Sunscreen,29000,Sensitive,UV Protection,images/sunscreen.jpg,https://shopee.co.id/search?keyword=Sunscreen%2BSPF%2B30%2BMadame%2BGie%2B60ml
48,Wardah UV Shield Essentia Sunscreen Gel SPF 30,Rp40.000,Sunscreen,40000,Sensitive,UV Protection,images/sunscreen.jpg,https://shopee.co.id/search?keyword=Wardah%2BUV%2BShield%2BEssentia%2BSunscreen%2BGel%2BSPF%2B30
49,Wallet Bengkoang Asli Ori 100%,Rp89.000,Cream,89000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Wallet%2BBengkoang%2BAsli%2BOri%2B100%25
50,Kelly Pear Cream 5g,Rp10.000,Cream,10000,Dry,General Care,images/default.jpg,https://shopee.co.id/search?keyword=Kelly%2BPear%2BCream%2B5g
