w_category,w_concern,w_skin_type,w_price,k_neighbors,shrinkage,alpha,model,RMSE,MAE,Precision@5,Recall@5,NDCG@5
1.0,1.0,1.0,0.05,15,0.2,0.4,Hybrid,1.7926094784973332,1.5590350713681937,0.005000000000000001,0.025,0.01192230465061161
1.0,1.0,1.0,0.05,15,0.2,0.6,Hybrid,1.5048825020258805,1.3022887686405527,0.005000000000000001,0.025,0.01192230465061161
1.0,1.0,1.0,0.05,30,0.2,0.4,Hybrid,1.7926094784973332,1.5590350713681937,0.005000000000000001,0.025,0.01192230465061161
1.0,1.0,1.0,0.05,30,0.2,0.6,Hybrid,1.5048825020258805,1.3022887686405527,0.005000000000000001,0.025,0.01192230465061161
1.0,1.3,1.0,0.05,15,0.2,0.6,Hybrid,1.506915175888258,1.3028040045609077,0.005000000000000001,0.025,0.01192230465061161
1.0,1.3,1.0,0.05,30,0.2,0.6,Hybrid,1.506915175888258,1.3028040045609077,0.005000000000000001,0.025,0.01192230465061161
1.2,1.0,1.0,0.05,15,0.2,0.6,Hybrid,1.5047036532311742,1.3013915859426732,0.005000000000000001,0.025,0.01192230465061161
1.2,1.0,1.0,0.05,30,0.2,0.6,Hybrid,1.5047036532311742,1.3013915859426732,0.005000000000000001,0.025,0.01192230465061161
1.2,1.3,1.0,0.05,15,0.2,0.6,Hybrid,1.506561193343846,1.3020383550992929,0.005000000000000001,0.025,0.01192230465061161
1.2,1.3,1.0,0.05,30,0.2,0.6,Hybrid,1.506561193343846,1.3020383550992929,0.005000000000000001,0.025,0.01192230465061161
1.0,1.3,1.0,0.05,15,0.2,0.4,Hybrid,1.7941347860247883,1.5599285205408906,0.005000000000000001,0.025,0.011557106726954513
1.0,1.3,1.0,0.05,30,0.2,0.4,Hybrid,1.7941347860247883,1.5599285205408906,0.005000000000000001,0.025,0.011557106726954513
1.2,1.0,1.0,0.05,15,0.2,0.4,Hybrid,1.7922732593803983,1.5586386135577803,0.005000000000000001,0.025,0.011557106726954513
1.2,1.0,1.0,0.05,30,0.2,0.4,Hybrid,1.7922732593803983,1.5586386135577803,0.005000000000000001,0.025,0.011557106726954513
1.0,1.0,1.0,0.05,15,0.05,0.4,Hybrid,1.479510864971141,1.2392455755080007,0.005000000000000001,0.025,0.010401716028177733
1.0,1.0,1.0,0.05,30,0.05,0.4,Hybrid,1.479510864971141,1.2392455755080007,0.005000000000000001,0.025,0.010401716028177733
1.0,1.3,1.0,0.05,15,0.05,0.4,Hybrid,1.4805837070961463,1.2396016531071106,0.005000000000000001,0.025,0.010401716028177733
1.0,1.3,1.0,0.05,30,0.05,0.4,Hybrid,1.4805837070961463,1.2396016531071106,0.005000000000000001,0.025,0.010401716028177733
1.2,1.3,1.0,0.05,15,0.05,0.4,Hybrid,1.4803688441356437,1.2391822090143052,0.005000000000000001,0.025,0.010401716028177733
1.2,1.3,1.0,0.05,30,0.05,0.4,Hybrid,1.4803688441356437,1.2391822090143052,0.005000000000000001,0.025,0.010401716028177733
1.2,1.0,1.0,0.05,15,0.05,0.4,Hybrid,1.4793859480906788,1.2388361248463609,0.005000000000000001,0.025,0.010036518104520636
1.2,1.0,1.0,0.05,30,0.05,0.4,Hybrid,1.4793859480906788,1.2388361248463609,0.005000000000000001,0.025,0.010036518104520636
1.0,1.0,1.0,0.05,15,0.05,0.6,Hybrid,1.3181068806529441,1.1195251167086,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.0,1.0,1.0,0.05,30,0.05,0.6,Hybrid,1.3181068806529441,1.1195251167086,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.0,1.3,1.0,0.05,15,0.05,0.6,Hybrid,1.3195577203625772,1.1197582546507736,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.0,1.3,1.0,0.05,30,0.05,0.6,Hybrid,1.3195577203625772,1.1197582546507736,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.2,1.3,1.0,0.05,15,0.05,0.6,Hybrid,1.3194238542026309,1.1189973334170191,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.2,1.3,1.0,0.05,15,0.2,0.4,Hybrid,1.79375861912633,1.5595765850296162,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.2,1.3,1.0,0.05,30,0.05,0.6,Hybrid,1.3194238542026309,1.1189973334170191,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.2,1.3,1.0,0.05,30,0.2,0.4,Hybrid,1.79375861912633,1.5595765850296162,0.0033333333333333335,0.016666666666666666,0.008333333333333333
1.2,1.0,1.0,0.05,15,0.05,0.6,Hybrid,1.3182197001703277,1.118903102568809,0.0033333333333333335,0.016666666666666666,0.007755637983944943
1.2,1.0,1.0,0.05,30,0.05,0.6,Hybrid,1.3182197001703277,1.118903102568809,0.0033333333333333335,0.016666666666666666,0.007755637983944943
