product_id,name,category,skin_type,concern,price
1,Product_1,Cleanser,Sensitive,Anti-aging,105859
2,Product_2,Serum,Dry,Anti-aging,161297
3,Product_3,Serum,Normal,Anti-aging,63811
4,Product_4,Toner,Normal,Anti-aging,147474
5,Product_5,Toner,Oily,Hydration,49597
6,Product_6,Serum,Dry,Redness,189578
7,Product_7,Serum,Sensitive,Redness,118424
8,Product_8,Sunscreen,All,Dullness,140405
9,Product_9,Cleanser,Normal,Brightening,31788
10,Product_10,Moisturizer,Dry,Anti-aging,121270
11,Product_11,Moisturizer,Normal,Hydration,72373
12,Product_12,Toner,Oily,Redness,155297
13,Product_13,Moisturizer,All,Brightening,155574
14,Product_14,Cleanser,Sensitive,Acne,146667
15,Product_15,Moisturizer,Normal,Hydration,123390
16,Product_16,Moisturizer,Normal,Hydration,73113
17,Product_17,Cleanser,All,Dullness,159436
18,Product_18,Toner,Normal,Dullness,121529
19,Product_19,Toner,Oily,Redness,190750
20,Product_20,Serum,All,Anti-aging,181050
21,Product_21,Sunscreen,All,Acne,52014
22,Product_22,Cleanser,Oily,Acne,131547
23,Product_23,Serum,Oily,Hydration,178978
24,Product_24,Moisturizer,Combination,Hydration,52987
25,Product_25,Sunscreen,Normal,Brightening,95953
26,Product_26,Serum,Normal,Dullness,164985
27,Product_27,Toner,Dry,Brightening,96713
28,Product_28,Toner,All,Hydration,33262
29,Product_29,Serum,Oily,Anti-aging,198655
30,Product_30,Sunscreen,Combination,Acne,98627
31,Product_31,Moisturizer,Dry,Dullness,129329
32,Product_32,Moisturizer,All,Brightening,124494
33,Product_33,Sunscreen,Dry,Dullness,179434
34,Product_34,Serum,Sensitive,Anti-aging,130234
35,Product_35,Moisturizer,Combination,Anti-aging,80186
36,Product_36,Moisturizer,Combination,Hydration,156474
37,Product_37,Serum,Oily,Redness,113520
38,Product_38,Cleanser,Combination,Hydration,179129
39,Product_39,Toner,Dry,Dullness,198597
40,Product_40,Cleanser,Oily,Dullness,133223
41,Product_41,Sunscreen,Dry,Dullness,134143
42,Product_42,Sunscreen,Sensitive,Dullness,46206
43,Product_43,Moisturizer,Normal,Anti-aging,90655
44,Product_44,Moisturizer,All,Brightening,184531
45,Product_45,Toner,Dry,Brightening,150187
46,Product_46,Sunscreen,Combination,Acne,187600
47,Product_47,Moisturizer,All,Anti-aging,46871
48,Product_48,Toner,Normal,Brightening,91359
49,Product_49,Sunscreen,Dry,Acne,95924
50,Product_50,Toner,All,Acne,184181
51,Product_51,Moisturizer,Sensitive,Anti-aging,153755
52,Product_52,Sunscreen,All,Dullness,146060
53,Product_53,Moisturizer,Dry,Acne,60161
54,Product_54,Cleanser,Normal,Hydration,187110
55,Product_55,Cleanser,Normal,Hydration,192841
56,Product_56,Serum,Oily,Anti-aging,150060
57,Product_57,Sunscreen,Sensitive,Hydration,134884
58,Product_58,Cleanser,Sensitive,Brightening,55584
59,Product_59,Toner,Oily,Dullness,139489
60,Product_60,Cleanser,Sensitive,Hydration,151177
61,Product_61,Moisturizer,Combination,Redness,47273
62,Product_62,Sunscreen,Normal,Brightening,93816
63,Product_63,Serum,Oily,Brightening,134671
64,Product_64,Moisturizer,Sensitive,Redness,54406
65,Product_65,Toner,All,Acne,174327
66,Product_66,Cleanser,Combination,Acne,196610
67,Product_67,Moisturizer,Sensitive,Brightening,135168
68,Product_68,Cleanser,Combination,Redness,127101
69,Product_69,Moisturizer,Combination,Redness,84230
70,Product_70,Toner,Sensitive,Anti-aging,199187
71,Product_71,Cleanser,Combination,Hydration,136297
72,Product_72,Serum,Sensitive,Hydration,156057
73,Product_73,Sunscreen,Oily,Brightening,171130
74,Product_74,Toner,Normal,Dullness,109175
75,Product_75,Cleanser,Dry,Acne,139136
76,Product_76,Moisturizer,Dry,Acne,119475
77,Product_77,Cleanser,All,Acne,141314
78,Product_78,Cleanser,All,Acne,158181
79,Product_79,Cleanser,Normal,Hydration,178984
80,Product_80,Moisturizer,Combination,Acne,169992
81,Product_81,Moisturizer,Normal,Anti-aging,51498
82,Product_82,Sunscreen,Dry,Acne,138602
83,Product_83,Serum,Sensitive,Dullness,198983
84,Product_84,Moisturizer,Combination,Anti-aging,43249
85,Product_85,Toner,All,Acne,87862
86,Product_86,Toner,Combination,Brightening,184237
87,Product_87,Cleanser,Oily,Acne,41737
88,Product_88,Serum,Oily,Redness,41564
89,Product_89,Sunscreen,Sensitive,Hydration,117676
90,Product_90,Moisturizer,Combination,Acne,106490
91,Product_91,Moisturizer,Dry,Acne,99532
92,Product_92,Sunscreen,All,Acne,88298
93,Product_93,Sunscreen,Combination,Hydration,145077
94,Product_94,Serum,Normal,Brightening,85257
95,Product_95,Sunscreen,Normal,Dullness,189288
96,Product_96,Moisturizer,Sensitive,Acne,193683
97,Product_97,Moisturizer,Normal,Acne,85351
98,Product_98,Moisturizer,Dry,Redness,89760
99,Product_99,Toner,Normal,Redness,191161
100,Product_100,Sunscreen,All,Anti-aging,87932
101,Product_101,Serum,Dry,Acne,84143
102,Product_102,Serum,Oily,Anti-aging,179845
103,Product_103,Toner,All,Acne,53048
104,Product_104,Serum,All,Hydration,190422
105,Product_105,Moisturizer,Oily,Dullness,175625
106,Product_106,Moisturizer,Combination,Hydration,182091
107,Product_107,Sunscreen,Sensitive,Redness,194464
108,Product_108,Sunscreen,Oily,Anti-aging,120977
109,Product_109,Toner,Normal,Hydration,180740
110,Product_110,Cleanser,Oily,Hydration,169317
111,Product_111,Moisturizer,Oily,Redness,190126
112,Product_112,Moisturizer,Normal,Hydration,41710
113,Product_113,Sunscreen,Dry,Hydration,171781
114,Product_114,Serum,Normal,Hydration,79337
115,Product_115,Moisturizer,Combination,Hydration,199356
116,Product_116,Moisturizer,All,Redness,44119
117,Product_117,Serum,Combination,Redness,174348
118,Product_118,Cleanser,All,Anti-aging,49155
119,Product_119,Toner,Dry,Anti-aging,183289
120,Product_120,Serum,Combination,Redness,140567
121,Product_121,Toner,Oily,Brightening,78864
122,Product_122,Toner,Normal,Hydration,145412
123,Product_123,Toner,Dry,Dullness,72726
124,Product_124,Cleanser,Dry,Redness,36424
125,Product_125,Serum,Combination,Dullness,128201
126,Product_126,Sunscreen,Combination,Acne,145885
127,Product_127,Serum,Normal,Hydration,72414
128,Product_128,Serum,Sensitive,Anti-aging,124912
129,Product_129,Cleanser,Normal,Hydration,113876
130,Product_130,Serum,Dry,Anti-aging,72591
131,Product_131,Moisturizer,All,Anti-aging,127174
132,Product_132,Serum,Oily,Anti-aging,156765
133,Product_133,Sunscreen,Oily,Redness,141187
134,Product_134,Moisturizer,Combination,Anti-aging,69786
135,Product_135,Sunscreen,All,Anti-aging,58921
136,Product_136,Moisturizer,All,Dullness,162125
137,Product_137,Moisturizer,Normal,Dullness,122481
138,Product_138,Cleanser,Oily,Anti-aging,166917
139,Product_139,Sunscreen,Dry,Acne,97113
140,Product_140,Sunscreen,Oily,Dullness,67657
141,Product_141,Cleanser,Combination,Anti-aging,152589
142,Product_142,Moisturizer,Sensitive,Redness,53825
143,Product_143,Serum,Oily,Hydration,134503
144,Product_144,Moisturizer,Normal,Acne,155110
145,Product_145,Serum,Dry,Acne,56901
146,Product_146,Serum,Dry,Dullness,129159
147,Product_147,Toner,Dry,Brightening,134273
148,Product_148,Toner,Combination,Hydration,158354
149,Product_149,Serum,Oily,Dullness,118077
150,Product_150,Toner,All,Brightening,119384
151,Product_151,Sunscreen,Combination,Redness,118372
152,Product_152,Serum,Sensitive,Redness,192514
153,Product_153,Cleanser,Combination,Brightening,160947
154,Product_154,Sunscreen,Oily,Anti-aging,50341
155,Product_155,Moisturizer,Normal,Redness,113508
156,Product_156,Moisturizer,Dry,Brightening,135013
157,Product_157,Moisturizer,Dry,Acne,177314
158,Product_158,Toner,All,Acne,79751
159,Product_159,Toner,Dry,Redness,62426
160,Product_160,Moisturizer,Sensitive,Dullness,192033
161,Product_161,Toner,Oily,Acne,196982
162,Product_162,Cleanser,Sensitive,Acne,197666
163,Product_163,Moisturizer,Sensitive,Anti-aging,188093
164,Product_164,Toner,All,Hydration,199689
165,Product_165,Moisturizer,Normal,Hydration,35599
166,Product_166,Moisturizer,Dry,Hydration,94291
167,Product_167,Sunscreen,All,Hydration,137427
168,Product_168,Moisturizer,Dry,Redness,136194
169,Product_169,Toner,All,Dullness,114799
170,Product_170,Serum,Oily,Redness,181452
171,Product_171,Cleanser,Normal,Brightening,120523
172,Product_172,Sunscreen,Oily,Brightening,42682
173,Product_173,Moisturizer,Combination,Redness,143675
174,Product_174,Toner,Dry,Brightening,133504
175,Product_175,Cleanser,Normal,Anti-aging,161906
176,Product_176,Moisturizer,Normal,Redness,163827
177,Product_177,Toner,All,Anti-aging,161260
178,Product_178,Toner,Dry,Brightening,190618
179,Product_179,Cleanser,Sensitive,Hydration,130571
180,Product_180,Moisturizer,All,Redness,45293
181,Product_181,Cleanser,Sensitive,Anti-aging,63939
182,Product_182,Serum,Combination,Dullness,106970
183,Product_183,Sunscreen,Dry,Redness,92607
184,Product_184,Moisturizer,Dry,Anti-aging,65149
185,Product_185,Moisturizer,Oily,Dullness,101642
186,Product_186,Cleanser,Dry,Hydration,176697
187,Product_187,Cleanser,Sensitive,Acne,181990
188,Product_188,Sunscreen,Dry,Hydration,75363
189,Product_189,Cleanser,All,Dullness,47954
190,Product_190,Serum,Normal,Redness,192686
191,Product_191,Cleanser,Sensitive,Brightening,128620
192,Product_192,Cleanser,Oily,Redness,121267
193,Product_193,Moisturizer,Sensitive,Acne,119037
194,Product_194,Sunscreen,Normal,Redness,169170
195,Product_195,Sunscreen,Sensitive,Redness,55259
196,Product_196,Sunscreen,Dry,Redness,72169
197,Product_197,Moisturizer,Combination,Acne,174193
198,Product_198,Sunscreen,Dry,Anti-aging,168338
199,Product_199,Serum,Oily,Hydration,179193
200,Product_200,Cleanser,Dry,Acne,126519
201,Product_201,Serum,Normal,Brightening,196577
202,Product_202,Cleanser,Dry,Hydration,118980
203,Product_203,Serum,Normal,Dullness,55151
204,Product_204,Toner,All,Hydration,152626
205,Product_205,Moisturizer,Combination,Acne,92961
206,Product_206,Serum,Dry,Anti-aging,124872
