user_id,age,skin_type,concern
1,28,Oily,Brightening
2,38,Dry,Dullness
3,22,Oily,Dullness
4,26,Dry,Brightening
5,23,Sensitive,Acne
6,24,Combination,Redness
7,20,Normal,Acne
8,21,Sensitive,Anti-aging
9,26,Sensitive,Brightening
10,31,Sensitive,Redness
11,28,Sensitive,Acne
12,24,Sensitive,Acne
13,20,Normal,Acne
14,32,Oily,Dullness
15,27,Oily,Anti-aging
16,30,Combination,Brightening
17,21,Oily,Anti-aging
18,37,Normal,Hydration
19,33,Sensitive,Dullness
20,22,Dry,Redness
21,30,Combination,Brightening
22,26,Combination,Brightening
23,23,Sensitive,Anti-aging
24,38,Normal,Redness
25,24,Sensitive,Brightening
26,32,Oily,Brightening
27,38,Normal,Anti-aging
28,24,Combination,Acne
29,32,Oily,Brightening
30,39,Normal,Anti-aging
31,35,Normal,Dullness
32,36,Dry,Anti-aging
33,34,Oily,Redness
34,31,Sensitive,Dullness
35,22,Normal,Dullness
36,37,Dry,Brightening
37,24,Combination,Anti-aging
38,36,Combination,Hydration
39,21,Combination,Dullness
40,28,Oily,Anti-aging
41,25,Oily,Redness
42,37,Combination,Hydration
43,37,Sensitive,Dullness
44,35,Sensitive,Hydration
45,30,Combination,Hydration
46,27,Oily,Hydration
47,37,Normal,Acne
48,22,Combination,Redness
49,34,Sensitive,Brightening
50,38,Sensitive,Dullness
51,34,Dry,Anti-aging
52,36,Sensitive,Brightening
53,33,Dry,Acne
54,28,Dry,Anti-aging
55,33,Sensitive,Anti-aging
56,33,Sensitive,Anti-aging
57,28,Normal,Anti-aging
58,37,Oily,Hydration
59,40,Sensitive,Dullness
60,27,Oily,Hydration
61,36,Combination,Redness
62,22,Combination,Hydration
63,30,Dry,Redness
64,37,Sensitive,Redness
65,27,Dry,Redness
66,39,Dry,Redness
67,25,Oily,Redness
68,30,Oily,Redness
69,19,Sensitive,Anti-aging
70,32,Oily,Brightening
71,33,Sensitive,Hydration
72,26,Combination,Anti-aging
73,30,Normal,Redness
74,20,Combination,Anti-aging
75,21,Oily,Hydration
76,27,Normal,Acne
77,19,Sensitive,Acne
78,36,Dry,Anti-aging
79,38,Combination,Hydration
80,23,Oily,Anti-aging
81,35,Combination,Hydration
82,40,Normal,Brightening
83,26,Sensitive,Dullness
84,36,Oily,Anti-aging
85,30,Sensitive,Acne
86,33,Sensitive,Anti-aging
87,21,Sensitive,Dullness
88,40,Oily,Redness
89,20,Normal,Anti-aging
90,38,Combination,Anti-aging
91,33,Dry,Anti-aging
92,22,Combination,Acne
93,29,Sensitive,Redness
94,26,Combination,Anti-aging
